Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Kinross Gold,KGC,NYSE,Basic Materials,Mining - Gold,YES,5.08,0.93,6236.02,12,21.17,14.76,12.98,0.21,0.34,0.39,0.6190476190476192,0.14705882352941171,0.23843076923076917,0.8826400000000003,
Kronos Worldwide,KRO,NYSE,Basic Materials,Chemical - Diversified ,YES,9.46,1.05,1088.45,12,35.04,25.23,13.61,1.06,0.38,0.69,-0.6415094339622641,0.8157894736842104,-0.39329117647058826,0.16683225806451615,
Quaker Houghton,KWR,NYSE,Basic Materials,Chemical - Specialty,YES,197.99,1.41,3560.03,12,31.23,26.64,22.71,5.71,7.43,8.72,0.30122591943957966,0.173620457604307,0.884386046511628,1.3080255813953479,
Lithium Americas,LAC,NYSE,Basic Materials,Chemical - Diversified ,YES,20.94,1.42,3342.48,12,,43.17,14.5,-1.04,0.49,1.44,-1.471153846153846,1.9387755102040816,-0.29344313725490195,0.07478947368421053,
Linde PLC,LIN,NYSE,Basic Materials,Chemical - Specialty,YES,382.11,0.84,187362.73,12,29.9,27.54,25.09,12.04,13.88,15.23,0.15282392026578087,0.09726224783861669,1.8020739130434766,2.5796237037037044,2.75
Livent,LTHM,NYSE,Basic Materials,Chemical - Specialty,YES,28.61,1.83,5138.65,12,16.07,13.56,10.88,1.35,2.11,2.63,0.5629629629629628,0.24644549763033177,0.24086842105263168,0.4414769230769231,0.44
LyondellBasell Industries,LYB,NYSE,Basic Materials,Chemical - Diversified ,YES,90.89,1.21,29564.17,12,8.31,10.12,8.9,12.26,8.98,10.21,-0.2675367047308319,0.13697104677060137,-0.37826585365853665,0.6497723577235771,1.27
MAG Silver,MAG,AMEX,Basic Materials,Mining - Silver,YES,11.41,1.05,1174.02,12,57.05,14.4,9.46,0.39,0.79,1.21,1.0256410256410258,0.531645569620253,0.14039999999999997,0.1779380952380953,
Methanex,MEOH,NSDQ,Basic Materials,Chemical - Diversified ,YES,42.02,1.6,2842.1,12,11.39,21.46,14.4,4.49,1.96,2.92,-0.5634743875278396,0.4897959183673469,-0.3808513833992095,0.29400000000000004,
The Mosaic Company,MOS,NYSE,Basic Materials,Fertilizers,YES,35.76,1.5,11876.22,12,3.67,8.3,9.82,11.39,4.31,3.64,-0.6215978928884988,-0.1554524361948955,-0.13352683615819208,-0.6317044776119407,1.19
MP Materials,MP,NYSE,Basic Materials,Mining - Miscellaneous,YES,24.86,2.65,4415.65,12,16.8,45.2,19.42,1.38,0.55,1.28,-0.6014492753623187,1.3272727272727272,-0.7515180722891568,0.1463150684931507,2.78
ArcelorMittal,MT,NYSE,Basic Materials,Steel - Producers,YES,27.99,1.9,22541.41,12,3.32,6.02,5.4,10.27,4.65,5.18,-0.5472249269717624,0.11397849462365577,-0.11000960854092527,0.47377358490566107,
Materion,MTRN,NYSE,Basic Materials,Mining - Miscellaneous,YES,121.3,1.1,2499.84,12,22.89,21.0,18.36,5.19,5.78,6.61,0.11368015414258185,0.14359861591695502,1.847288135593221,1.2785638554216867,
Minerals Technologies,MTX,NYSE,Basic Materials,Chemical - Specialty,YES,53.32,1.29,1735.21,12,11.44,10.26,8.9,5.39,5.2,5.99,-0.0352504638218923,0.15192307692307694,-2.9106000000000076,0.5858227848101266,
Newmont,NEM,NYSE,Basic Materials,Mining - Miscellaneous,YES,44.62,0.34,35460.06,12,28.42,19.57,16.26,1.88,2.28,2.74,0.21276595744680848,0.20175438596491246,0.9197900000000002,0.805930434782608,1.5
Ingevity,NGVT,NYSE,Basic Materials,Chemical - Specialty,YES,60.54,1.87,2199.49,12,11.05,11.0,8.9,6.33,5.5,6.8,-0.13112164296998421,0.23636363636363633,-0.8389156626506022,0.3765384615384616,
Nutrien,NTR,NYSE,Basic Materials,Fertilizers,YES,60.61,0.9,29969.38,12,5.28,8.81,9.66,13.77,6.88,6.27,-0.5003631082062454,-0.08866279069767447,-0.17607213352685053,-1.0895213114754092,1.1
Nucor,NUE,NYSE,Basic Materials,Steel - Producers,YES,167.43,1.6,42062.25,12,6.56,9.42,13.84,28.17,17.78,12.09,-0.3688320908768193,-0.3200224971878516,-0.2554007699711261,-0.4324695957820737,
Orion S.A.,OEC,NYSE,Basic Materials,Chemical - Specialty,YES,22.19,1.59,1306.26,12,10.32,8.97,7.65,1.88,2.47,2.9,0.31382978723404276,0.1740890688259108,0.28582372881355916,0.4394302325581399,
Olin,OLN,NYSE,Basic Materials,Chemical - Diversified ,YES,53.24,1.44,6882.6,12,7.07,10.81,7.72,8.83,4.92,6.9,-0.4428086070215176,0.402439024390244,-0.2441235294117647,0.191830303030303,1.17
Osisko Gold Royalties,OR,NYSE,Basic Materials,Mining - Gold,YES,15.05,0.75,2784.42,12,41.81,31.75,24.67,0.37,0.47,0.61,0.27027027027027023,0.29787234042553196,1.1747500000000002,0.8282071428571428,
Orla Mining,ORLA,AMEX,Basic Materials,Mining - Gold,YES,4.68,0.76,1464.72,12,27.53,29.25,22.65,0.19,0.16,0.21,-0.15789473684210525,0.31249999999999994,-1.8525,0.7248000000000001,
Pan American Silver,PAAS,NYSE,Basic Materials,Mining - Silver,YES,16.09,1.17,3389.85,12,402.25,36.02,17.55,0.12,0.45,0.92,2.7500000000000004,1.0444444444444445,0.13098181818181817,0.16803191489361702,
POSCO,PKX,NYSE,Basic Materials,Steel - Producers,YES,93.55,1.19,28299.09,12,10.08,12.01,8.71,12.59,7.79,10.74,-0.3812549642573471,0.3786906290115533,-0.31501229166666667,0.23000305084745762,1.0
Piedmont Lithium,PLL,NSDQ,Basic Materials,Mining - Miscellaneous,YES,61.16,1.01,1173.25,12,,9.73,3.6,-1.14,6.28,17.01,-6.508771929824562,1.7085987261146496,-0.014949056603773585,0.021069897483690588,
PPG Industries,PPG,NYSE,Basic Materials,Chemical - Specialty,YES,151.2,1.19,35594.91,12,23.23,20.7,19.0,5.98,7.3,7.96,0.22073578595317714,0.0904109589041096,0.9377727272727278,2.101515151515151,1.17
