Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Ameriprise Financial,AMP,NYSE,Finance,Financial - Investment Management,YES,343.0,1.46,35733.32,12,12.98,11.51,10.18,24.54,29.8,33.69,0.21434392828035867,0.13053691275167775,0.5369874524714827,0.779856041131106,0.68
AMERISAFE,AMSF,NSDQ,Finance,Insurance - Accident and Health,YES,53.03,0.34,1015.61,12,17.22,18.24,21.18,2.88,2.91,2.5,0.010416666666666753,-0.14089347079037806,17.510399999999855,-1.5032634146341457,
American Tower,AMT,NYSE,Finance,REIT and Equity Trust - Other,YES,186.26,0.58,86805.21,12,18.95,19.31,17.76,9.7,9.64,10.49,-0.006185567010309147,0.08817427385892113,-31.217833333333992,2.0141929411764714,1.38
Aon,AON,NYSE,Finance,Insurance - Brokerage,YES,337.49,0.92,68930.82,12,24.62,23.47,20.97,13.16,14.38,16.09,0.09270516717325233,0.1189151599443671,2.5316819672131134,1.7634421052631588,2.56
Artisan Partners Asset Management,APAM,NYSE,Finance,Financial - Investment Management,YES,42.16,1.85,3350.22,12,15.16,16.03,14.39,3.08,2.63,2.93,-0.14610389610389615,0.11406844106463888,-1.0971644444444442,1.2615233333333322,
Apple Hospitality REIT,APLE,NYSE,Finance,REIT and Equity Trust - Other,YES,15.2,1.16,3481.0,12,9.5,9.35,8.98,1.54,1.63,1.69,0.05844155844155835,0.03680981595092028,1.5998888888888914,2.439566666666664,1.63
Apollo Global Management,APO,NYSE,Finance,Financial - Investment Management,YES,80.94,1.68,45925.66,12,15.84,12.59,10.67,5.27,6.43,7.58,0.2201138519924099,0.17884914463452573,0.5719767241379309,0.5965921739130432,0.65
Ares Capital,ARCC,NSDQ,Finance,Financial - SBIC & Commercial Industry,YES,19.33,1.0,10526.75,12,8.75,8.36,8.57,1.96,2.31,2.26,0.17857142857142863,-0.02164502164502176,0.46815999999999974,-3.959339999999979,
Alexandria Real Estate Equities,ARE,NYSE,Finance,REIT and Equity Trust - Other,YES,117.48,0.92,20325.21,12,13.72,13.12,12.13,8.41,8.96,9.68,0.06539833531510116,0.08035714285714272,2.00616727272727,1.5095111111111137,1.35
Ares Management,ARES,NYSE,Finance,Financial - Investment Management,YES,100.95,1.32,30528.35,12,29.6,27.41,20.49,3.23,3.68,4.93,0.13931888544891646,0.3396739130434781,1.9674288888888882,0.6032256000000001,1.15
Argo Group,ARGO,NYSE,Finance,Insurance - Property and Casualty,YES,29.72,1.01,1045.24,12,,29.72,10.25,0.95,1.0,2.9,0.052631578947368474,1.9,5.646799999999994,0.05394736842105263,
Apollo Commercial Real Estate Finance,ARI,NYSE,Finance,REIT and Equity Trust,YES,11.83,1.61,1672.09,12,7.83,6.95,7.56,1.4,1.7,1.57,0.21428571428571433,-0.07647058823529405,0.32433333333333325,-0.9886153846153855,
Associated BancCorp,ASB,NYSE,Finance,Banks - Midwest,YES,17.36,1.0,2619.46,12,6.83,7.45,7.88,2.29,2.33,2.2,0.01746724890829696,-0.05579399141630897,4.265124999999996,-1.4123384615384627,0.93
Atlantic Union Bankshares,AUB,NYSE,Finance,Banks - Northeast,YES,28.59,1.02,2144.09,12,9.66,10.57,10.85,2.9,2.7,2.63,-0.06896551724137923,-0.02592592592592603,-1.5326500000000018,-4.184999999999984,
Grupo Aval Acciones y Valores,AVAL,NYSE,Finance,Financial - Investment Management,NO,2.49,1.19,2956.06,12,6.07,7.55,6.55,0.5,0.33,0.38,-0.33999999999999997,0.15151515151515146,-0.22205882352941175,0.43230000000000013,
AvalonBay Communities,AVB,NYSE,Finance,REIT and Equity Trust - Residential,YES,194.07,0.93,27557.76,12,19.23,18.52,17.5,9.8,10.48,11.09,0.06938775510204079,0.05820610687022895,2.669058823529413,3.0065573770491834,3.22
"Avantax, Inc.",AVTA,NSDQ,Finance,Financial - Miscellaneous Services,YES,25.94,1.22,1000.97,12,34.59,38.15,25.77,1.82,0.68,1.01,-0.6263736263736264,0.4852941176470587,-0.6090614035087719,0.531018181818182,2.54
Axos Financial,AX,NYSE,Finance,Financial - Miscellaneous Services,YES,43.21,1.44,2564.74,6,8.59,8.31,7.79,4.98,5.2,5.55,0.04417670682730918,0.06730769230769224,1.8810818181818205,1.1573714285714298,
American Express,AXP,NYSE,Finance,Financial - Miscellaneous Services,YES,175.39,1.19,130362.45,12,18.44,15.73,13.97,9.96,11.15,12.55,0.11947791164658629,0.12556053811659196,1.316561344537816,1.112610714285714,1.1
Axis Capital Holdings,AXS,NYSE,Finance,Insurance - Property and Casualty,YES,53.35,0.84,4545.42,12,8.82,7.01,6.29,5.57,7.61,8.48,0.36624775583482944,0.11432325886990803,0.19140049019607844,0.5501942528735632,1.4
Bank of America,BAC,NYSE,Finance,Banks - Major Regional,YES,29.4,1.35,234293.09,12,8.83,8.7,9.05,3.11,3.38,3.25,0.08681672025723473,-0.03846153846153843,1.002111111111111,-2.3530000000000024,1.24
Brookfield Asset Management Ltd.,BAM,NYSE,Finance,Financial - Miscellaneous Services,YES,32.86,,13552.98,12,,24.61,20.67,1.18,1.34,1.59,0.1355932203389832,0.18656716417910446,1.8149874999999982,1.1079120000000002,
BancFirst,BANF,NSDQ,Finance,Banks - Southwest,YES,99.4,1.06,3270.25,12,15.51,15.89,17.99,5.8,6.26,5.53,0.0793103448275862,-0.11661341853035137,2.003521739130435,-1.5427041095890417,
Banner,BANR,NSDQ,Finance,Financial - Savings and Loan,YES,47.14,1.01,1618.53,12,7.68,7.71,8.14,5.66,6.12,5.79,0.0812720848056537,-0.05392156862745099,0.9486652173913045,-1.5095999999999998,
Credicorp,BAP,NYSE,Finance,Banks - Foreign,YES,155.44,0.96,12362.61,12,10.19,8.8,8.15,15.1,17.66,19.08,0.16953642384105963,0.08040770101925244,0.5190625,1.0135845070422547,0.48
Banco Bradesco,BBD,NYSE,Finance,Banks - Foreign,YES,3.47,0.75,36984.95,12,11.19,9.55,6.85,0.44,0.36,0.51,-0.18181818181818185,0.41666666666666674,-0.52525,0.16439999999999996,0.68
Banco Bilbao Viscaya Argentaria,BBVA,NYSE,Finance,Banks - Foreign,YES,8.04,1.3,51348.81,12,6.93,6.16,6.64,1.05,1.3,1.21,0.23809523809523808,-0.06923076923076929,0.25872000000000006,-0.9591111111111102,1.18
Banco De Chile,BCH,NYSE,Finance,Banks - Foreign,YES,21.26,0.38,10738.12,12,6.58,8.34,8.54,2.99,2.55,2.49,-0.14715719063545163,-0.02352941176470573,-0.5667409090909087,-3.6295000000000237,1.25
