Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Universal Display,OLED,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,YES,145.7,1.35,6896.58,12,34.86,37.83,30.91,3.97,3.85,4.71,-0.030226700251889196,0.22337662337662334,-12.515424999999988,1.383761627906977,2.41
Olo,OLO,NYSE,Computer and Technology,Internet - Software,YES,6.5,1.13,1052.9,12,72.22,51.59,40.63,0.06,0.13,0.16,1.1666666666666667,0.23076923076923075,0.44220000000000004,1.7606333333333335,
ON Semiconductor,ON,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,YES,104.33,1.73,45057.31,12,19.68,21.38,19.32,5.26,4.88,5.4,-0.07224334600760454,0.10655737704918042,-2.9594421052631583,1.8131076923076908,3.59
Onto Innovation,ONTO,NYSE,Computer and Technology,Nanotechnology,YES,115.9,1.39,5667.51,12,22.64,31.86,26.77,5.27,3.64,4.33,-0.3092979127134724,0.18956043956043955,-1.030074846625767,1.412214492753623,
Orange,ORAN,NYSE,Computer and Technology,Wireless Non-US ,YES,11.8,0.22,31373.74,12,,9.29,8.37,1.07,1.27,1.41,0.18691588785046723,0.11023622047244086,0.49701500000000015,0.759278571428572,0.7
Oracle,ORCL,NYSE,Computer and Technology,Computer - Software,YES,118.89,1.01,322698.25,5,23.17,21.56,19.34,5.04,5.51,6.15,0.0932539682539682,0.11615245009074421,2.3119659574468097,1.6650531249999985,2.69
Palo Alto Networks,PANW,NSDQ,Computer and Technology,Internet - Software,YES,250.05,1.2,76479.0,7,66.21,58.58,50.41,2.48,4.27,4.96,0.7217741935483869,0.16159250585480103,0.8116111731843577,3.1195753623188387,1.86
Paycom Software,PAYC,NYSE,Computer and Technology,Internet - Software,YES,358.99,1.44,21644.44,12,53.42,46.72,38.63,5.88,7.68,9.29,0.3061224489795918,0.2096354166666666,1.5261866666666668,1.8427229813664603,1.87
Paylocity Holding,PCTY,NSDQ,Computer and Technology,Internet - Software,YES,217.53,1.08,12141.33,6,46.88,41.24,35.56,4.91,5.27,6.12,0.07331975560081455,0.16129032258064527,5.624677777777787,2.2047199999999987,
PagerDuty,PD,NYSE,Computer and Technology,Internet - Software,YES,24.34,0.85,2244.28,1,86.93,39.47,36.33,-0.02,0.62,0.67,-32.0,0.08064516129032265,-0.012334375,4.504919999999996,
