Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Logitech International S.A.,LOGI,NSDQ,Computer and Technology,Computer - Peripheral Equipment,18152.39,3,15.55,23.3,21.2,5.92,4.67,5.13,-0.21114864864864866,0.09850107066381156,-1.103488,2.1522608695652172,
"LG Display Co., Ltd.",LPL,NYSE,Computer and Technology,Computer - Peripheral Equipment,6311.87,12,5.65,4.32,7.38,-0.55,2.04,1.2,-4.709090909090908,-0.411764705882353,-0.009173745173745177,-0.1792285714285714,0.13
Lam Research Corporation,LRCX,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,83984.25,6,21.59,17.61,16.28,26.71,33.45,36.16,0.25233994758517414,0.08101644245141984,0.6978681008902076,2.009468634686352,1.04
Lattice Semiconductor Corporation,LSCC,NSDQ,Computer and Technology,Electronics - Semiconductors,7955.32,12,68.62,62.86,52.08,0.67,0.93,1.12,0.3880597014925373,0.20430107526881724,1.619853846153846,2.5491789473684205,6.29
Liberty Media Corporation,LSXMK,NSDQ,Computer and Technology,Satellite and Communication,10708.11,12,37.44,45.29,15.69,0.3,1.05,3.03,2.5,1.8857142857142855,0.18116,0.08320454545454546,
"Manhattan Associates, Inc.",MANH,NSDQ,Computer and Technology,Computer - Software,10034.93,12,79.14,78.1,79.01,1.64,2.03,2.0,0.23780487804878045,-0.014778325123152615,3.2842051282051283,-53.463433333333676,
ManTech International Corporation,MANT,NSDQ,Computer and Technology,Computer - Services,3367.48,12,23.1,23.13,22.05,3.27,3.59,3.76,0.09785932721712533,0.04735376044568243,2.363596875000001,4.65644117647059,4.57
Mobile TeleSystems PJSC,MBT,NYSE,Computer and Technology,Wireless Non-US ,8623.02,12,9.7,11.35,13.08,0.73,0.76,0.66,0.04109589041095894,-0.13157894736842102,2.7618333333333305,-0.9940800000000002,1.86
McAfee Corp.,MCFE,NSDQ,Computer and Technology,Internet - Software,11177.37,12,20.74,20.74,19.57,1.3,1.25,1.33,-0.03846153846153849,0.06400000000000006,-5.392399999999995,3.057812499999997,
Microchip Technology Incorporated,MCHP,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,41218.38,3,21.46,17.78,16.48,6.47,8.46,9.13,0.30757341576506975,0.07919621749408982,0.5780733668341705,2.0809074626865676,1.05
Micro Focus International PLC Sponsored ADR,MFGP,NYSE,Computer and Technology,Internet - Software,1896.01,10,,3.87,3.78,1.65,1.46,1.5,-0.11515151515151513,0.02739726027397263,-0.3360789473684211,1.3796999999999986,
"Magnite, Inc.",MGNI,NSDQ,Computer and Technology,Internet - Software,3665.83,12,71.61,49.0,31.03,0.08,0.57,0.9,6.124999999999999,0.5789473684210528,0.08000000000000002,0.5359727272727272,
Mimecast Limited,MIME,NSDQ,Computer and Technology,Internet - Software,3899.63,3,47.46,46.83,41.12,1.1,1.27,1.44,0.15454545454545446,0.13385826771653536,3.030176470588237,3.071905882352943,1.34
"MKS Instruments, Inc.",MKSI,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,8173.06,12,14.96,13.25,12.18,7.11,11.12,12.1,0.5639943741209562,0.08812949640287775,0.23493142144638413,1.382057142857142,
MakeMyTrip Limited,MMYT,NSDQ,Computer and Technology,Internet - Delivery Services,2771.24,3,,264.6,220.5,-0.62,0.1,0.12,-1.161290322580645,0.1999999999999999,-2.2785000000000006,11.025000000000006,
Momentive Global Inc.,MNTV,NSDQ,Computer and Technology,Computers - IT Services,2935.51,12,,884.44,124.38,-0.04,0.02,0.16,-1.5,7.000000000000001,-5.896266666666667,0.17768571428571425,
"Model N, Inc.",MODN,NYSE,Computer and Technology,Internet - Software,1179.08,9,65.9,89.66,64.93,0.42,0.37,0.51,-0.11904761904761903,0.3783783783783784,-7.531440000000001,1.716007142857143,6.9
Hello Group Inc. Sponsored ADR,MOMO,NSDQ,Computer and Technology,Internet - Software,1978.1,12,6.31,8.14,7.01,1.87,1.47,1.7,-0.21390374331550807,0.15646258503401358,-0.38054499999999997,0.44803043478260873,
"Monolithic Power Systems, Inc.",MPWR,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,21055.7,12,73.13,64.82,56.48,4.96,7.07,8.12,0.4254032258064517,0.14851485148514837,1.5237308056872034,3.8029866666666705,2.59
Mercury Systems Inc,MRCY,NSDQ,Computer and Technology,Computer - Peripheral Equipment,2913.64,6,21.44,20.6,17.81,2.36,2.52,2.91,0.0677966101694916,0.15476190476190482,3.0384999999999973,1.1507999999999996,3.35
MSCI Inc,MSCI,NYSE,Computer and Technology,Business - Software Services,51955.96,12,69.48,64.64,57.27,7.85,9.75,11.0,0.2420382165605096,0.1282051282051282,2.6706526315789465,4.467060000000001,
Microsoft Corporation,MSFT,NSDQ,Computer and Technology,Computer - Software,2213887.0,6,36.96,34.23,30.3,7.8,8.61,9.72,0.1038461538461538,0.12891986062717786,3.2962222222222235,2.3502972972972946,3.09
"Motorola Solutions, Inc.",MSI,NYSE,Computer and Technology,Wireless Equipment,39774.35,12,26.85,26.25,23.88,7.58,8.95,9.84,0.18073878627968326,0.09944134078212298,1.4523722627737234,2.4014157303370767,2.92
Datto Holding Corp.,MSP,NYSE,Computer and Technology,Internet - Software,4366.87,12,39.0,57.26,58.5,0.51,0.47,0.46,-0.07843137254901968,-0.021276595744680753,-7.300649999999994,-27.495000000000125,20.16
"MettlerToledo International, Inc.",MTD,NYSE,Computer and Technology,Instruments - Scientific,36037.23,12,50.38,47.44,43.62,25.0,32.86,35.74,0.31439999999999996,0.08764455264759594,1.508905852417303,4.976920833333328,2.8
Materialise NV,MTLS,NSDQ,Computer and Technology,Internet - Software,1094.22,12,1010.0,288.57,161.6,-0.11,0.07,0.13,-1.6363636363636362,0.857142857142857,-1.7634833333333335,1.8853333333333337,
"MACOM Technology Solutions Holdings, Inc.",MTSI,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,4157.14,9,31.15,28.48,24.58,0.96,2.12,2.46,1.2083333333333335,0.16037735849056597,0.23569655172413792,1.5326352941176473,0.71
"Micron Technology, Inc.",MU,NSDQ,Computer and Technology,Semiconductor Memory,79849.7,8,15.03,11.92,5.73,2.76,5.95,12.39,1.1557971014492756,1.0823529411764705,0.1031322884012539,0.052940217391304355,0.93
"Maxim Integrated Products, Inc.",MXIM,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,26839.05,6,31.45,27.03,24.54,3.13,3.7,4.07,0.18210862619808316,0.10000000000000002,1.4842789473684204,2.4539999999999993,2.7
"MaxLinear, Inc",MXL,NYSE,Computer and Technology,Semiconductor - Analog and Mixed,3865.53,12,28.24,21.29,18.33,0.85,2.37,2.76,1.7882352941176471,0.1645569620253163,0.11905592105263156,1.113900000000001,1.06
National Instruments Corporation,NATI,NSDQ,Computer and Technology,Electronics - Testing Equipment,5538.66,12,29.54,25.55,22.76,1.2,1.63,1.83,0.3583333333333333,0.1226993865030676,0.7130232558139536,1.8549399999999985,
NCR Corporation,NCR,NYSE,Computer and Technology,Computer - Integrated Systems,5606.84,12,18.88,16.5,11.86,1.76,2.59,3.6,0.471590909090909,0.38996138996139007,0.34987951807228923,0.3041326732673266,
Nice Ltd.,NICE,NSDQ,Computer and Technology,Internet - Software,16838.25,12,43.57,42.01,37.59,5.67,6.36,7.11,0.12169312169312177,0.11792452830188678,3.4521260869565196,3.1876320000000007,3.76
Nokia Corporation,NOK,NYSE,Computer and Technology,Wireless Equipment,34095.55,12,14.45,16.06,16.06,0.26,0.38,0.38,0.4615384615384615,0.0,0.34796666666666665,inf,10.78
Novanta Inc.,NOVT,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,5243.5,12,68.72,62.61,55.13,1.85,2.36,2.68,0.2756756756756755,0.1355932203389832,2.271147058823531,4.065837499999996,
"ServiceNow, Inc.",NOW,NYSE,Computer and Technology,Computers - IT Services,114941.58,12,109.06,100.32,80.89,4.55,5.78,7.17,0.2703296703296704,0.24048442906574388,3.711024390243901,3.3636273381294974,3.56
"NetApp, Inc.",NTAP,NSDQ,Computer and Technology,Computer- Storage Devices,18324.42,4,20.2,17.69,15.82,4.01,4.62,5.17,0.15211970074812978,0.11904761904761901,1.1628999999999994,1.3288800000000003,2.01
"NetScout Systems, Inc.",NTCT,NSDQ,Computer and Technology,Computer - Networking,2002.53,3,15.62,15.67,13.9,1.67,1.73,1.95,0.035928143712574884,0.12716763005780346,4.361483333333329,1.0930454545454547,3.13
"NetEase, Inc.",NTES,NSDQ,Computer and Technology,Internet - Software and Services,57166.45,12,12.64,23.68,19.05,2.85,3.6,4.48,0.2631578947368421,0.24444444444444452,0.8998400000000001,0.7793181818181816,1.03
"NETGEAR, Inc.",NTGR,NSDQ,Computer and Technology,Computer - Networking,1064.75,12,9.25,12.35,11.45,2.75,2.82,3.04,0.025454545454545396,0.07801418439716319,4.851785714285725,1.4676818181818168,
"Nuance Communications, Inc.",NUAN,NSDQ,Computer and Technology,Computer - Software,17223.21,9,74.0,71.12,62.23,0.82,0.77,0.88,-0.06097560975609748,0.14285714285714285,-11.663680000000015,4.3561000000000005,
NVIDIA Corporation,NVDA,NSDQ,Computer and Technology,Semiconductor - General,497154.0,1,16.83,50.32,45.69,2.43,3.96,4.37,0.6296296296296295,0.10353535353535358,0.7992000000000001,4.412985365853657,2.92
Nova Ltd.,NVMI,NSDQ,Computer and Technology,Electronics - Semiconductors,2695.59,12,35.15,27.59,25.26,2.02,3.46,3.79,0.7128712871287128,0.09537572254335262,0.3870263888888889,2.6484727272727264,1.03
nVent Electric PLC,NVT,NYSE,Computer and Technology,Electronics - Miscellaneous Components,5638.31,12,18.53,18.33,17.02,1.49,1.83,1.97,0.2281879194630873,0.0765027322404371,0.8032852941176467,2.2247571428571447,
NXP Semiconductors N.V.,NXPI,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,56521.45,12,23.5,20.69,18.66,6.05,10.31,11.43,0.7041322314049588,0.10863239573229866,0.29383685446009383,1.7177196428571442,2.07
Universal Display Corporation,OLED,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,9253.41,12,50.22,48.53,36.73,2.3,4.05,5.35,0.7608695652173914,0.32098765432098764,0.637822857142857,1.144280769230769,1.62
ON Semiconductor Corporation,ON,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,18689.4,12,27.13,17.37,15.49,0.77,2.5,2.8,2.2467532467532467,0.11999999999999993,0.07731156069364162,1.2908333333333342,0.33
Onto Innovation Inc.,ONTO,NYSE,Computer and Technology,Nanotechnology,3524.62,12,25.83,20.1,17.96,1.81,3.56,3.98,0.9668508287292817,0.11797752808988762,0.2078914285714286,1.5223238095238096,
OptimizeRx Corp.,OPRX,NSDQ,Computer and Technology,Computer - Software,1058.88,12,166.94,111.99,62.82,0.18,0.54,0.96,2.0000000000000004,0.7777777777777776,0.5599499999999998,0.8076857142857145,
Orange,ORAN,NYSE,Computer and Technology,Wireless Non-US ,30384.01,12,,10.06,8.79,1.14,1.14,1.3,0.0,0.1403508771929826,inf,0.6262874999999993,
Oracle Corporation,ORCL,NYSE,Computer and Technology,Computer - Software,253569.44,5,19.36,19.54,17.28,4.46,4.65,5.26,0.042600896860986635,0.1311827956989246,4.586757894736832,1.3172459016393456,2.3
"OSI Systems, Inc.",OSIS,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,1809.71,6,20.09,18.14,16.43,5.26,5.55,6.13,0.05513307984790875,0.10450450450450452,3.2902206896551722,1.5721810344827583,2.02
Open Text Corporation,OTEX,NSDQ,Computer and Technology,Computer - Software,14514.4,6,15.76,14.98,14.71,3.35,3.57,3.63,0.0656716417910447,0.016806722689075647,2.281045454545457,8.752449999999993,
"Palo Alto Networks, Inc.",PANW,NYSE,Computer and Technology,Security,36065.79,7,61.41,52.3,42.89,5.99,7.08,8.63,0.1819699499165275,0.21892655367231648,2.874100917431193,1.9591045161290315,2.24
Paya Holdings Inc.,PAYA,NSDQ,Computer and Technology,Internet - Software,1301.83,12,127.75,24.14,18.58,0.28,0.42,0.55,0.4999999999999998,0.3095238095238097,0.48280000000000023,0.6002769230769227,
"Paycom Software, Inc.",PAYC,NYSE,Computer and Technology,Internet - Software,28451.09,12,118.96,108.42,85.92,3.45,4.37,5.51,0.2666666666666666,0.26086956521739124,4.065750000000001,3.2936000000000005,4.34
Pitney Bowes Inc.,PBI,NYSE,Computer and Technology,Office Automation and Equipment,1361.58,12,19.35,22.11,14.07,0.26,0.35,0.55,0.34615384615384603,0.5714285714285716,0.6387333333333335,0.24622499999999994,
Paylocity Holding Corporation,PCTY,NSDQ,Computer and Technology,Internet - Software,13700.05,6,118.92,116.08,89.52,1.93,2.16,2.8,0.11917098445595865,0.2962962962962961,9.740626086956514,3.021300000000002,
Pegasystems Inc.,PEGA,NSDQ,Computer and Technology,Computer - Software,10385.6,12,375.0,303.57,157.41,-0.29,0.42,0.81,-2.4482758620689657,0.9285714285714288,-1.2399338028169014,1.6951846153846148,
"Proofpoint, Inc.",PFPT,NSDQ,Computer and Technology,Security,10093.77,12,80.91,79.53,63.55,1.9,2.2,2.75,0.15789473684210542,0.2499999999999999,5.036899999999995,2.542000000000001,3.42
PLDT Inc.,PHI,NYSE,Computer and Technology,Wireless Non-US ,5399.23,12,8.89,8.99,10.54,2.69,2.78,2.37,0.03345724907063192,-0.1474820143884891,2.6870111111111155,-0.7146634146341468,
Ping Identity Holding Corp.,PING,NYSE,Computer and Technology,Computers - IT Services,1929.08,12,67.14,114.63,75.2,0.32,0.2,0.31,-0.375,0.5499999999999999,-3.0568,1.3672727272727274,13.35
"Pinterest, Inc.",PINS,NYSE,Computer and Technology,Internet - Software,36299.05,12,61.21,51.5,38.83,0.31,1.09,1.45,2.5161290322580645,0.330275229357798,0.20467948717948717,1.1756861111111117,
"PerkinElmer, Inc.",PKI,NYSE,Computer and Technology,Instruments - Scientific,20697.39,12,14.65,18.64,30.45,7.94,9.91,6.06,0.2481108312342569,-0.38849646821392536,0.7512771573604062,-0.783790909090909,0.49
ePlus inc.,PLUS,NSDQ,Computer and Technology,Business - Software Services,1380.25,3,14.94,13.92,14.01,6.18,7.34,7.3,0.1877022653721683,-0.005449591280653956,0.7415999999999998,-25.708349999999975,
Plexus Corp.,PLXS,NSDQ,Computer and Technology,Electronics - Manufacturing Services,2513.13,9,16.9,17.88,15.8,3.93,4.91,5.56,0.24936386768447835,0.13238289205702636,0.7170244897959184,1.1935076923076935,
"Plantronics, Inc.",POLY,NYSE,Computer and Technology,Communication - Components,1229.03,3,6.87,9.96,7.79,3.67,2.91,3.73,-0.20708446866485009,0.28178694158075596,-0.480963157894737,0.27645000000000003,
"Power Integrations, Inc.",POWI,NSDQ,Computer and Technology,Semiconductors - Power,5945.86,12,38.08,32.44,31.51,1.54,3.04,3.13,0.974025974025974,0.02960526315789469,0.3330506666666666,10.643377777777795,
"Perficient, Inc.",PRFT,NSDQ,Computer and Technology,Computer - Services,3472.93,12,34.92,32.1,28.07,2.43,3.29,3.76,0.3539094650205761,0.1428571428571428,0.9070116279069769,1.964900000000001,2.01
Progress Software Corporation,PRGS,NSDQ,Computer and Technology,Computer - Software,1968.09,11,13.0,12.93,12.72,2.96,3.48,3.54,0.17567567567567569,0.017241379310344845,0.7360153846153845,7.377599999999993,6.46
"Pure Storage, Inc.",PSTG,NYSE,Computer and Technology,Computer- Storage Devices,5531.97,1,97.65,61.61,37.13,0.14,0.32,0.53,1.2857142857142856,0.65625,0.47918888888888894,0.5657904761904762,1.32
PTC Inc.,PTC,NSDQ,Computer and Technology,Computer - Software,15278.41,9,35.56,37.14,33.08,2.35,3.51,3.93,0.4936170212765956,0.11965811965811977,0.7524051724137933,2.7645428571428545,1.6
"PubMatic, Inc.",PUBM,NSDQ,Computer and Technology,Internet - Software,1404.98,12,,60.55,56.08,0.67,0.47,0.51,-0.29850746268656725,0.08510638297872349,-2.0284249999999995,6.589399999999993,2.42
"PayPal Holdings, Inc.",PYPL,NSDQ,Computer and Technology,Internet - Software,326987.97,12,61.57,58.83,47.33,3.8,4.73,5.88,0.24473684210526334,0.24312896405919648,2.4038064516129016,1.9467034782608705,2.73
QAD Inc.,QADA,NSDQ,Computer and Technology,Business - Software Services,1804.84,1,68.61,68.26,63.3,0.85,1.28,1.38,0.5058823529411766,0.07812499999999989,1.3493255813953486,8.10240000000001,
QUALCOMM Incorporated,QCOM,NSDQ,Computer and Technology,Wireless Equipment,167090.64,9,19.91,17.97,16.25,3.92,8.24,9.12,1.1020408163265307,0.10679611650485425,0.16306111111111107,1.5215909090909108,0.86
"Qualys, Inc.",QLYS,NSDQ,Computer and Technology,Security,4242.66,12,36.19,36.09,34.13,2.87,3.02,3.19,0.052264808362369304,0.056291390728476796,6.905220000000004,6.063094117647062,
"Qorvo, Inc.",QRVO,NSDQ,Computer and Technology,Semiconductors - Radio Frequency,20846.82,3,16.93,15.5,14.0,9.45,12.1,13.4,0.28042328042328046,0.10743801652892568,0.5527358490566038,1.3030769230769224,1.22
"Q2 Holdings, Inc.",QTWO,NYSE,Computer and Technology,Business - Software Services,4445.41,12,281.18,291.59,183.09,0.1,0.27,0.43,1.7,0.5925925925925924,1.715235294117647,3.089643750000001,
Radware Ltd.,RDWR,NSDQ,Computer and Technology,Security,1500.62,12,43.13,42.01,34.66,0.66,0.77,0.93,0.16666666666666663,0.20779220779220783,2.5206000000000004,1.6680124999999997,2.47
RELX PLC,RELX,NYSE,Computer and Technology,Internet - Content,58477.81,12,,25.41,22.57,1.08,1.19,1.34,0.10185185185185174,0.12605042016806733,2.4948000000000032,1.7905533333333319,2.6
Ricoh Co.,RICOY,OTCBB,Computer and Technology,Office Automation and Equipment,7843.92,3,,18.8,12.59,-0.35,0.56,0.84,-2.6,0.4999999999999998,-0.07230769230769231,0.2518000000000001,
"Rambus, Inc.",RMBS,NSDQ,Computer and Technology,Electronics - Semiconductors,2604.82,12,27.49,17.99,16.61,1.17,1.33,1.44,0.13675213675213688,0.08270676691729313,1.3155187499999987,2.0083000000000024,
"Ringcentral, Inc.",RNG,NYSE,Computer and Technology,Internet - Software and Services,22391.58,12,214.64,190.31,153.15,0.96,1.29,1.6,0.3437500000000001,0.24031007751937988,5.536290909090907,6.373016129032258,7.37
Rogers Corporation,ROG,NYSE,Computer and Technology,Electronics - Miscellaneous Components,3726.54,12,29.83,26.58,23.22,4.89,7.49,8.57,0.5316973415132926,0.14419225634178906,0.4999084615384613,1.61035,
Science Applications International Corporation,SAIC,NYSE,Computer and Technology,Computers - IT Services,4893.49,1,12.31,13.15,12.03,6.06,6.42,7.02,0.059405940594059466,0.09345794392523359,2.213583333333331,1.2872100000000006,
Sanmina Corporation,SANM,NSDQ,Computer and Technology,Electronics - Manufacturing Services,2484.67,9,9.26,9.47,8.77,2.73,4.03,4.35,0.4761904761904763,0.07940446650124054,0.19887,1.1044718750000022,0.79
SAP SE,SAP,NYSE,Computer and Technology,Computer - Software,181732.61,12,18.97,20.34,22.99,6.31,7.27,6.43,0.15213946117274169,-0.11554332874828059,1.33693125,-1.989729761904762,2.03
EchoStar Corporation,SATS,NSDQ,Computer and Technology,Satellite and Communication,2238.25,12,57.21,12.22,29.61,-0.41,2.06,0.85,-6.02439024390244,-0.587378640776699,-0.02028421052631579,-0.504104132231405,
"SMART Global Holdings, Inc.",SGH,NSDQ,Computer and Technology,Electronics - Semiconductors,1057.53,8,11.29,9.37,7.57,2.56,4.65,5.76,0.8164062500000001,0.2387096774193547,0.11477129186602868,0.31712162162162183,
Scientific Games Corp,SGMS,NSDQ,Computer and Technology,Computer - Services,6704.44,12,,58.14,28.28,-5.46,1.2,2.46,-1.2197802197802199,1.05,-0.4766432432432432,0.26933333333333337,
Shopify Inc.,SHOP,NYSE,Computer and Technology,Internet - Services,185123.36,12,213.94,324.84,290.25,3.69,4.58,5.13,0.24119241192411928,0.12008733624454145,13.468085393258423,24.169909090909098,12.99
Silicon Motion Technology Corporation,SIMO,NSDQ,Computer and Technology,Electronics - Semiconductors,2534.87,12,17.16,12.65,11.0,3.08,5.74,6.6,0.8636363636363636,0.14982578397212534,0.14647368421052634,0.7341860465116283,1.58
SiTime Corporation,SITM,NSDQ,Computer and Technology,Electronics - Miscellaneous Products,3833.7,12,153.53,87.64,65.62,0.32,2.3,3.07,6.187499999999999,0.3347826086956522,0.14164040404040407,1.960077922077922,5.84
"SK Telecom Co., Ltd.",SKM,NYSE,Computer and Technology,Wireless Non-US ,21120.34,12,10.31,9.92,8.33,2.09,2.93,3.49,0.4019138755980863,0.19112627986348124,0.24681904761904755,0.4358375,
"Silicon Laboratories, Inc.",SLAB,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,7063.33,12,44.7,110.81,108.22,2.9,1.42,1.46,-0.5103448275862069,0.028169014084507067,-2.171277027027027,38.41809999999997,
Semtech Corporation,SMTC,NSDQ,Computer and Technology,Semiconductor - Analog and Mixed,4227.35,1,33.56,26.71,22.94,1.73,2.44,2.84,0.4104046242774566,0.16393442622950816,0.6508211267605635,1.3993400000000005,2.14
Snap Inc.,SNAP,NYSE,Computer and Technology,Internet - Software,114535.29,12,362.2,213.06,90.88,-0.09,0.34,0.8,-4.777777777777779,1.352941176470588,-0.4459395348837209,0.6717217391304348,
"Synopsys, Inc.",SNPS,NSDQ,Computer and Technology,Computer - Software,44921.11,10,45.02,45.62,40.4,5.55,6.45,7.29,0.16216216216216223,0.13023255813953485,2.8132333333333324,3.1021428571428578,3.11
SYNNEX Corporation,SNX,NYSE,Computer and Technology,Business - Software Services,6482.47,11,9.97,14.87,14.06,12.25,8.4,8.88,-0.3142857142857143,0.05714285714285719,-0.47313636363636363,2.460499999999998,1.43
Sapiens International Corporation N.V.,SPNS,NSDQ,Computer and Technology,Computer - Software,1511.35,12,25.08,24.06,21.44,0.97,1.15,1.29,0.1855670103092783,0.12173913043478272,1.296566666666667,1.7611428571428556,
"Square, Inc.",SQ,NYSE,Computer and Technology,Internet - Software,121084.44,12,152.25,146.06,121.85,0.75,1.8,2.16,1.4000000000000001,0.20000000000000004,1.0432857142857144,6.0924999999999985,4.65
"SS&C Technologies Holdings, Inc.",SSNC,NSDQ,Computer and Technology,Computer - Software,19501.63,12,16.43,15.87,15.38,4.22,4.82,4.97,0.14218009478673,0.031120331950207355,1.116189999999999,4.942106666666685,
"Shutterstock, Inc.",SSTK,NYSE,Computer and Technology,Internet - Content,3833.68,12,28.06,33.71,31.39,2.4,3.11,3.34,0.29583333333333334,0.07395498392282958,1.139492957746479,4.244473913043478,2.55
Sensata Technologies Holding N.V.,ST,NYSE,Computer and Technology,Instruments - Control,9538.88,12,18.14,16.92,14.79,2.15,3.56,4.07,0.6558139534883722,0.1432584269662922,0.258,1.0323999999999995,1.53
STMicroelectronics N.V.,STM,NYSE,Computer and Technology,Semiconductor - General,39301.76,12,25.08,22.54,20.0,1.19,1.91,2.16,0.6050420168067226,0.13089005235602105,0.3725361111111111,1.5279999999999987,
StoneCo Ltd.,STNE,NSDQ,Computer and Technology,Internet - Software,15751.37,12,96.26,60.74,36.36,0.55,0.84,1.4,0.5272727272727271,0.6666666666666666,1.1519655172413796,0.5454000000000001,
SolarWinds Corp.,SWI,NYSE,Computer and Technology,Internet - Software,2864.98,12,14.98,10.62,10.62,1.95,1.71,1.71,-0.12307692307692307,0.0,-0.8628750000000001,inf,
"Skyworks Solutions, Inc.",SWKS,NSDQ,Computer and Technology,Semiconductors - Radio Frequency,30001.88,9,18.67,17.43,15.6,5.8,10.42,11.65,0.7965517241379311,0.11804222648752404,0.2188181818181818,1.3215609756097555,0.9
Synaptics Incorporated,SYNA,NSDQ,Computer and Technology,Electronics - Semiconductors,5992.07,6,20.36,17.15,15.8,8.17,9.93,10.77,0.215422276621787,0.08459214501510573,0.7961107954545454,1.8677857142857146,1.72
AT&T Inc.,T,NYSE,Computer and Technology,Wireless National,201348.0,12,8.65,8.76,8.96,3.17,3.22,3.15,0.015772870662460654,-0.021739130434782695,5.55383999999997,-4.121599999999984,2.6
Teradata Corporation,TDC,NYSE,Computer and Technology,Computer- Storage Devices,5935.04,12,24.29,30.06,27.52,1.19,1.81,1.98,0.5210084033613447,0.09392265193370161,0.5769580645161289,2.9300705882352958,1.1
Atlassian Corporation PLC,TEAM,NSDQ,Computer and Technology,Internet - Software,45863.54,6,240.3,211.98,158.76,1.33,1.58,2.1,0.18796992481203006,0.3291139240506329,11.277336,4.823861538461538,10.6
TE Connectivity Ltd.,TEL,NYSE,Computer and Technology,Electronics - Miscellaneous Components,50327.85,9,25.62,23.7,22.13,3.96,6.47,6.93,0.6338383838383838,0.07109737248840803,0.37391235059760963,3.112632608695652,2.28
"Tenable Holdings, Inc.",TENB,NSDQ,Computer and Technology,Internet - Software,4432.61,12,94.52,147.88,110.91,0.12,0.28,0.38,1.3333333333333337,0.35714285714285704,1.1090999999999998,3.105480000000001,
"Teradyne, Inc.",TER,NSDQ,Computer and Technology,Electronics - Testing Equipment,19697.57,12,22.35,21.07,19.88,4.49,5.62,5.96,0.25167037861915365,0.06049822064056937,0.8372061946902656,3.286047058823531,1.53
"Thryv Holdings, Inc.",THRY,NSDQ,Computer and Technology,Internet - Software,1055.25,12,5.7,11.89,12.01,1.51,2.62,2.6,0.7350993377483445,-0.007633587786259549,0.16174684684684681,-15.733099999999984,
TIM S.A. Sponsored ADR,TIMB,NYSE,Computer and Technology,Wireless Non-US ,5267.66,12,12.22,14.77,13.89,0.53,0.74,0.78,0.39622641509433953,0.054054054054054106,0.37276666666666675,2.5696499999999975,0.92
Turkcell Iletisim Hizmetleri AS,TKC,NYSE,Computer and Technology,Wireless Non-US ,3995.2,12,7.32,5.97,5.6,0.67,0.76,0.81,0.13432835820895517,0.06578947368421058,0.4444333333333335,0.8511999999999993,0.35
Telos Corporation,TLS,NSDQ,Computer and Technology,Computers - IT Services,1639.02,12,,76.15,33.99,-0.11,0.32,0.72,-3.909090909090909,1.2499999999999998,-0.19480232558139535,0.27192000000000005,
Tencent Music Entertainment Group Sponsored ADR,TME,NYSE,Computer and Technology,Internet - Content,14963.59,12,19.82,23.27,19.25,0.44,0.38,0.46,-0.13636363636363635,0.21052631578947373,-1.7064666666666668,0.9143749999999998,2.6
"TMobile US, Inc.",TMUS,NSDQ,Computer and Technology,Wireless National,175626.3,12,36.08,60.68,41.64,2.76,2.32,3.38,-0.15942028985507245,0.456896551724138,-3.8062909090909094,0.9113660377358489,
Trimble Inc.,TRMB,NSDQ,Computer and Technology,Electronics - Miscellaneous Products,22665.92,12,34.78,35.15,32.33,2.14,2.56,2.79,0.19626168224299062,0.08984374999999999,1.7909761904761907,3.5984695652173917,3.52
Tower Semiconductor Ltd.,TSEM,NSDQ,Computer and Technology,Electronics - Semiconductors,2994.95,12,23.97,19.61,15.45,0.9,1.43,1.82,0.5888888888888888,0.2727272727272728,0.3330000000000001,0.5664999999999998,
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,NYSE,Computer and Technology,Semiconductor - Circuit Foundry,594480.38,12,30.49,28.51,23.64,3.54,4.02,4.85,0.1355932203389829,0.20646766169154232,2.1026125000000024,1.1449734939759033,1.78
The Trade Desk Inc.,TTD,NSDQ,Computer and Technology,Internet - Services,37796.24,12,12.02,101.88,89.47,0.5,0.77,0.88,0.54,0.14285714285714285,1.8866666666666665,6.2629,4.43
"TechTarget, Inc.",TTGT,NSDQ,Computer and Technology,Internet - Content,2185.42,12,45.39,37.49,31.23,1.16,2.07,2.48,0.7844827586206896,0.19806763285024162,0.4778945054945055,1.576734146341463,
