Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
"Coherent, Inc.",COHR,NSDQ,Computer and Technology,Semiconductor Equipment - Wafer Components,5887.96,9,45.02,38.83,29.52,2.83,6.18,8.13,1.183745583038869,0.31553398058252446,0.32802656716417916,0.9355569230769224,
"Cohu, Inc.",COHU,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,1500.68,12,11.11,10.17,9.86,1.07,3.04,3.13,1.8411214953271027,0.02960526315789469,0.055238071065989845,3.330488888888894,
"CommScope Holding Company, Inc.",COMM,NSDQ,Computer and Technology,Communication - Infrastructure,3003.81,12,7.78,8.94,6.71,1.41,1.65,2.19,0.1702127659574468,0.3272727272727273,0.5252249999999999,0.20502777777777773,0.33
"salesforce.com, inc.",CRM,NYSE,Computer and Technology,Computer - Software,230759.2,1,45.89,65.58,58.51,4.63,3.8,4.26,-0.17926565874730024,0.12105263157894737,-3.658257831325301,4.833434782608696,3.56
Cerence Inc.,CRNC,NSDQ,Computer and Technology,Computers - IT Services,4312.22,9,45.2,46.08,41.0,1.36,2.46,2.77,0.8088235294117645,0.12601626016260165,0.5697163636363638,3.2535483870967736,
Criteo S.A.,CRTO,NSDQ,Computer and Technology,Internet - Software and Services,2219.99,12,13.58,15.21,14.93,1.94,2.39,2.44,0.23195876288659803,0.020920502092050135,0.6557199999999997,7.136540000000024,
"Cirrus Logic, Inc.",CRUS,NSDQ,Computer and Technology,Electronics - Semiconductors,4630.28,3,17.51,16.14,14.98,4.61,4.98,5.37,0.08026030368763559,0.07831325301204813,2.0109567567567566,1.9128307692307709,1.8
CrowdStrike Holdings Inc.,CRWD,NSDQ,Computer and Technology,Internet - Software,53000.01,1,690.32,580.33,318.61,0.23,0.4,0.74,0.7391304347826088,0.8499999999999999,7.8515235294117645,3.7483529411764716,23.21
"Cisco Systems, Inc.",CSCO,NSDQ,Computer and Technology,Computer - Networking,237175.42,7,17.7,16.61,15.7,3.2,3.39,3.59,0.05937499999999998,0.05899705014749254,2.797473684210527,2.6611500000000037,2.66
"CoStar Group, Inc.",CSGP,NSDQ,Computer and Technology,Computers - IT Services,32840.52,12,10.24,78.82,58.35,0.95,1.05,1.42,0.10526315789473695,0.35238095238095224,7.487899999999991,1.655878378378379,3.94
"CSG Systems International, Inc.",CSGS,NSDQ,Computer and Technology,Computer - Services,1550.69,12,14.35,14.62,14.27,3.02,3.24,3.32,0.07284768211920536,0.024691358024691242,2.0069272727272707,5.7793500000000275,
"Cornerstone OnDemand, Inc.",CSOD,NSDQ,Computer and Technology,Computer - Software,3781.62,12,21.96,24.21,23.8,1.42,2.34,2.38,0.647887323943662,0.01709401709401711,0.3736760869565217,13.922999999999988,
CTS Corporation,CTS,NYSE,Computer and Technology,Electronics - Miscellaneous Components,1201.08,12,21.17,20.58,18.52,1.04,1.8,2.0,0.7307692307692307,0.11111111111111108,0.28162105263157894,1.6668000000000005,
Cognizant Technology Solutions Corporation,CTSH,NSDQ,Computer and Technology,Business - Software Services,40565.59,12,21.44,19.08,17.33,3.64,4.04,4.45,0.10989010989010986,0.10148514851485152,1.7362800000000005,1.7076390243902433,1.73
"Citrix Systems, Inc.",CTXS,NSDQ,Computer and Technology,Computer - Software,12692.79,12,18.58,21.09,17.91,5.96,4.84,5.7,-0.18791946308724833,0.17768595041322321,-1.1222892857142857,1.0079581395348833,1.64
"Covetrus, Inc.",CVET,NSDQ,Computer and Technology,Internet - Software,3276.65,12,61.05,25.15,21.45,0.85,0.95,1.11,0.11764705882352938,0.1684210526315791,2.1377500000000005,1.2735937499999987,
"CommVault Systems, Inc.",CVLT,NSDQ,Computer and Technology,Computer - Software,3476.1,3,33.98,28.46,24.24,2.02,2.66,3.13,0.3168316831683169,0.17669172932330818,0.8982687499999998,1.3718808510638305,2.85
CyberArk Software Ltd.,CYBR,NSDQ,Computer and Technology,Security,6111.88,12,127.12,352.16,247.01,1.82,0.44,0.63,-0.7582417582417583,0.4318181818181818,-4.644428985507246,5.720231578947368,28.99
Endava PLC Sponsored ADR,DAVA,NYSE,Computer and Technology,Computers - IT Services,7391.99,6,94.18,67.5,56.43,1.75,2.07,2.47,0.18285714285714277,0.1932367149758456,3.6914062500000018,2.920252499999997,2.7
"Dropbox, Inc.",DBX,NSDQ,Computer and Technology,Internet - Services,12475.96,12,24.27,21.78,20.17,0.88,1.44,1.55,0.6363636363636362,0.07638888888888896,0.3422571428571429,2.6404363636363612,0.53
"Duck Creek Technologies, Inc.",DCT,NSDQ,Computer and Technology,Internet - Software,5711.05,8,542.0,570.53,774.29,-0.02,0.08,0.06,-5.0,-0.25000000000000006,-1.14106,-30.971599999999988,
3D Systems Corporation,DDD,NYSE,Computer and Technology,Computer - Mini computers,3601.77,12,82.17,71.54,81.24,-0.09,0.4,0.35,-5.444444444444445,-0.1250000000000001,-0.13140000000000002,-6.499199999999994,
