,Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,PEG Ratio
424,"TaskUs, Inc.",TASK,NSDQ,Computer and Technology,Computers - IT Services,3842.96,12,,33.69,33.33,,1.17,1.18,1.11
433,Telecom Italia S.P.A.,TIAIY,OTC,Computer and Technology,Wireless Non-US ,10230.13,12,,,,,,,
434,Millicom International Cellular SA,TIGO,NSDQ,Computer and Technology,Wireless Non-US ,3914.96,12,,,,-2.64,,,
447,TravelSky Technology Ltd.,TSYHY,OTC,Computer and Technology,Computers - IT Services,5053.56,12,,,,,,,
452,Tuya Inc. Sponsored ADR,TUYA,NYSE,Computer and Technology,Internet - Software,8944.97,12,,,,,-0.18,-0.21,
453,Twilio Inc.,TWLO,NYSE,Computer and Technology,Internet - Software,61401.87,12,17330.5,,41593.2,0.11,-0.28,0.01,
454,"2U, Inc.",TWOU,NSDQ,Computer and Technology,Internet - Software,2764.56,12,,,,-1.02,-0.63,-0.19,
458,Unity Software Inc.,U,NYSE,Computer and Technology,Internet - Software,34520.95,12,,,,-0.39,-0.33,-0.14,
459,"Uber Technologies, Inc.",UBER,NYSE,Computer and Technology,Internet - Services,78200.4,12,,,,-3.86,-0.27,-0.76,
462,Ubiquiti Inc.,UI,NYSE,Computer and Technology,Wireless Equipment,19314.09,6,35.1,27.78,,9.67,11.07,,0.84
463,Unisys Corporation,UIS,NYSE,Computer and Technology,Computers - IT Services,1591.32,12,9.96,,,,,,
464,United Microelectronics Corporation,UMC,NYSE,Computer and Technology,Electronics - Semiconductors,25618.4,12,16.66,14.65,12.52,,0.7,0.82,0.75
467,Upwork Inc.,UPWK,NSDQ,Computer and Technology,Internet - Services,5311.41,12,,,,-0.28,-0.42,-0.2,
478,"21Vianet Group, Inc.",VNET,NSDQ,Computer and Technology,Internet - Services,2468.88,12,,,,-2.98,-0.04,-0.42,
486,VTEX,VTEX,NYSE,Computer and Technology,Internet - Software,4848.13,12,,,,,,,
494,Wix.com Ltd.,WIX,NSDQ,Computer and Technology,Computers - IT Services,11326.57,12,,,,-0.47,-1.18,-0.17,
495,Workiva Inc.,WK,NYSE,Computer and Technology,Internet - Software,6785.85,12,420.47,,5175.0,0.02,-0.08,0.03,
496,WalkMe Ltd.,WKME,NSDQ,Computer and Technology,Internet - Software,1913.4,12,,,,,-0.74,-0.55,
500,Qualtrics International Inc.,XM,NSDQ,Computer and Technology,Internet - Software,22499.21,12,,,,-0.13,-0.01,-0.05,
508,Zhihu Inc. Sponsored ADR,ZH,NYSE,Computer and Technology,Internet - Content,5491.52,12,,,,,-0.23,-0.04,
513,"Zuora, Inc.",ZUO,NYSE,Computer and Technology,Internet - Software,1925.0,1,,,314.8,-0.13,-0.08,0.05,
0,American Airlines Group Inc.,AAL,NSDQ,Transportation,Transportation - Airline,12793.77,12,,,19.86,-19.79,-6.93,1.0,
2,Air Canada,ACDVF,OTC,Transportation,Transportation - Airline,6898.7,12,,,,,,,
3,Air FranceKLM SA,AFLYY,OTC,Transportation,Transportation - Airline,2012.44,12,,,,-16.83,-9.08,-0.7,
4,Air China Ltd.,AIRYY,OTC,Transportation,Transportation - Airline,9245.77,12,,,20.87,-2.61,-0.74,0.61,
7,"Alaska Air Group, Inc.",ALK,NYSE,Transportation,Transportation - Airline,7183.35,12,,,9.96,-10.5,-1.44,5.76,
8,ANA Holdings Inc.,ALNPY,OTC,Transportation,Transportation - Airline,8120.01,3,,,,,,,
14,AZUL SA,AZUL,NYSE,Transportation,Transportation - Airline,8538.53,12,,,,-7.51,-4.6,-1.9,
15,Bollore S.A.,BOIVF,OTC,Transportation,Transportation - Rail,16935.4,12,,,,,,,
16,China Eastern Airlines Corporation Ltd.,CEA,NYSE,Transportation,Transportation - Airline,5968.69,12,,,19.59,-4.9,-1.36,0.93,
23,"Copa Holdings, S.A.",CPA,NYSE,Transportation,Transportation - Airline,3135.02,12,,,16.22,-5.63,-2.46,4.56,
24,Cathay Pacific Airways Ltd.,CPCAY,OTC,Transportation,Transportation - Airline,3147.08,12,,,100.0,-2.44,-1.16,0.04,
26,"CryoPort, Inc.",CYRX,NSDQ,Transportation,Transportation - Services,2578.64,12,,,,-0.66,-0.54,-0.22,
28,"Delta Air Lines, Inc.",DAL,NYSE,Transportation,Transportation - Airline,25551.8,12,,,9.05,-10.71,-3.51,4.41,
29,Deutsche Lufthansa AG,DLAKY,OTC,Transportation,Transportation - Airline,6320.68,12,,,10.9,-16.54,-4.65,0.97,
32,Euronav NV,EURN,NYSE,Transportation,Transportation - Shipping,1601.34,12,,,23.53,2.19,-1.26,0.34,
35,Firstgroup PLC Unsponsored ADR,FGROY,OTC,Transportation,Transportation - Services,1405.89,3,,,,,,,
40,Golar LNG Limited,GLNG,NSDQ,Transportation,Transportation - Shipping,1173.1,12,,,152.43,-0.55,-0.16,0.07,
41,Golden Ocean Group Limited,GOGL,NSDQ,Transportation,Transportation - Shipping,1447.61,12,33.67,,,,,,
42,Gol Linhas Aereas Inteligentes S.A.,GOL,NYSE,Transportation,Transportation - Airline,1172.5,12,,,90.9,-2.03,-2.59,0.07,
43,Guangshen Railway Company Limited,GSHHY,OTC,Transportation,Transportation - Rail,1225.45,12,,,,,,,
44,"GXO Logistics, Inc.",GXO,NYSE,Transportation,Transportation - Air Freight and Cargo,9074.96,12,,36.15,29.4,,2.19,2.69,3.01
47,"Hertz Global Holdings, Inc.",HTZZ,OTC,Transportation,Transportation - Services,2491.5,12,,15.64,14.5,,1.02,1.1,
49,International Consolidated Airlines Group SA,ICAGY,OTC,Transportation,Transportation - Airline,4479.58,12,,,8.44,-3.71,-1.21,0.54,
50,Japan Airlines Ltd,JAPSY,OTC,Transportation,Transportation - Airline,7040.08,3,,,,,,,
52,JetBlue Airways Corporation,JBLU,NSDQ,Transportation,Transportation - Airline,4814.85,12,,,11.49,-5.9,-2.15,1.32,
53,Jungheinrich AG,JGHAF,OTC,Transportation,Transportation - Services,2831.1,12,,,,,,,
57,Keppel Corp.,KPELY,OTC,Transportation,Transportation - Shipping,7246.52,12,22.13,,,,,,
60,LATAM Airlines Group S.A.,LTMAQ,OTC,Transportation,Transportation - Airline,1431.12,12,,,,,,,
61,Southwest Airlines Co.,LUV,NYSE,Transportation,Transportation - Airline,29647.31,12,,,15.59,-6.57,-1.39,3.21,
65,Nippon Yusen Kabushiki Kaisha,NPNYY,OTC,Transportation,Transportation - Shipping,12856.17,3,4.33,,,,,,
67,NTL EXPRESS GRP,NXPGF,OTC,Transportation,Transportation - Services,1846.73,12,,,,-0.06,,,
76,Ryanair Holdings PLC,RYAAY,NSDQ,Transportation,Transportation - Airline,24293.92,3,,,14.76,-5.02,-0.47,7.29,
78,"Spirit Airlines, Inc.",SAVE,NYSE,Transportation,Transportation - Airline,2630.91,12,,,12.74,-8.31,-2.28,1.9,
81,"Sun Country Airlines Holdings, Inc.",SNCY,NSDQ,Transportation,Transportation - Airline,1866.22,12,,151.86,16.83,,0.22,1.94,
89,United Airlines Holdings Inc,UAL,NSDQ,Transportation,Transportation - Airline,14983.27,12,,,13.46,-27.08,-11.41,3.44,
90,Amerco,UHAL,NSDQ,Transportation,Transportation - Equipment and Leasing,12938.68,3,14.9,13.85,,32.46,47.65,,
91,"Frontier Group Holdings, Inc.",ULCC,NSDQ,Transportation,Transportation - Airline,3296.34,12,,,13.87,,-0.96,1.1,
94,Flughafen Wien AG,VIAAY,OTC,Transportation,Transportation - Airline,3974.88,12,,,,,,,
98,WEST JAPAN RAIL,WJRYY,OTC,Transportation,Transportation - Rail,10223.0,3,,,12.66,-11.48,-2.69,4.22,
101,China Southern Airlines Company Limited,ZNH,NYSE,Transportation,Transportation - Airline,6648.79,12,,,38.17,-4.66,-1.58,0.71,
5,AO Mosenergo,AOMOY,OTC,Utilities,Utility - Electric Power,1073.23,12,6.75,,,,,,
13,Brookfield Renewable Partners L.P.,BEP,NYSE,Utilities,Utility - Electric Power,10508.36,12,,,,,-0.36,-0.17,
16,"Chunghwa Telecom Co., Ltd.",CHT,NYSE,Utilities,Diversified Communication Services,32907.09,12,27.37,,,1.55,,,
17,Comp En De Mn Cemig ADS,CIG,NYSE,Utilities,Utility - Electric Power,3983.89,12,,6.39,,0.29,0.33,,
19,CLP Holdings Ltd.,CLPHY,OTC,Utilities,Utility - Electric Power,25491.89,12,,16.27,15.29,,0.62,0.66,4.34
27,Datang International Power Generation Co.,DIPGY,OTC,Utilities,Utility - Electric Power,2664.97,12,,,,,,,
31,Centrais Eltricas Brasileiras SA,EBR,NYSE,Utilities,Utility - Electric Power,11327.68,12,9.5,11.46,,0.92,0.63,,
32,Eletrobras,EBR.B,NYSE,Utilities,Utility - Electric Power,11296.3,12,9.47,,,,,,
36,ENGIE BRASL EGA,EGIEY,OTC,Utilities,Utility - Electric Power,5862.44,12,9.84,,,,,,
39,Enagas SA Unsponsored ADR,ENGGY,OTC,Utilities,Utility - Gas Distribution,6104.37,12,,,,,,,
40,GDF Suez SA,ENGIY,OTC,Utilities,Utility - Electric Power,34337.52,12,,,,,,,
41,Enersis Chile S.A.,ENIC,NYSE,Utilities,Utility - Electric Power,3306.16,12,5.2,,,,,,
42,Enel SpA,ENLAY,OTC,Utilities,Utility - Electric Power,93696.12,12,31.78,,,,,,
46,EVN AG,EVNVY,OTC,Utilities,Utility - Electric Power,4092.23,9,15.69,,,,,,
51,Power Assets Holdings Ltd.,HGKGY,OTC,Utilities,Utility - Electric Power,13680.61,12,,,,,,,
52,Hellenic Telecom Organization SA,HLTOY,OTC,Utilities,Diversified Communication Services,8642.72,12,15.65,,,,,,
54,Hong Kong & China Gas Co.,HOKCY,OTC,Utilities,Utility - Gas Distribution,29762.49,12,,,,,,,
55,Iberdrola S.A.,IBDRY,OTC,Utilities,Utility - Electric Power,76623.83,12,19.18,18.88,14.59,,2.55,3.3,
57,IDT Corporation,IDT,NYSE,Utilities,Diversified Communication Services,1403.73,7,28.23,,,,,,
58,Innergex Renewable Energy Inc.,INGXF,OTC,Utilities,Utility - Electric Power,2851.99,12,176.22,,,,,,
59,Kenon Holdings Ltd.,KEN,NYSE,Utilities,Utility - Electric Power,1984.91,12,,,,,,,
61,Koninklijke KPN NV,KKPNY,OTC,Utilities,Diversified Communication Services,13575.17,12,,,,,,,
67,Magyar Telekom Tavkozlesi Nyrt,MYTAY,OTC,Utilities,Wireline Non-US,1518.23,12,8.67,,,,,,
70,"National Grid Transco, PLC",NGG,NYSE,Utilities,Utility - Electric Power,47125.86,3,,16.72,,3.61,3.97,,6.13
74,Nippon Telegraph and Telephone Corporation,NTTYY,OTC,Utilities,Diversified Communication Services,96002.4,3,11.33,9.64,,,2.75,,
88,Red Electrica Corporacion SA,RDEIY,OTC,Utilities,Utility - Electric Power,10994.75,12,,,,,,,
90,Companhia de saneamento Basico Do Estado De Sao Paulo  Sabesp,SBS,NYSE,Utilities,Utility - Water Supply,4394.97,12,9.06,,,,,,
92,Singapore Telecommunications Ltd.,SGAPY,OTC,Utilities,Diversified Communication Services,29460.98,3,,,,,,,
97,Spark New Zealand Ltd.,SPKKY,OTC,Utilities,Wireline Non-US,6080.83,6,,19.95,,0.81,0.83,,13.57
106,Terna Rete Elettrica Nazionale SpA Unsponsored ADR,TEZNY,OTC,Utilities,Utility - Electric Power,16595.83,12,,,,,,,
109,"PT Telekomunikasi Indonesia, Tbk",TLK,NYSE,Utilities,Diversified Communication Services,20894.39,12,15.68,,,,,,
110,Telkom SA SOC Ltd.,TLKGY,OTC,Utilities,Diversified Communication Services,1395.41,3,,,,,,,
113,Tenaga Nasional Berhad,TNABY,OTC,Utilities,Utility - Electric Power,13106.6,12,18.1,,,,,,
119,Telefonica Brasil S.A.,VIV,NYSE,Utilities,Diversified Communication Services,13672.1,12,14.71,14.11,11.96,,0.57,0.68,0.97
121,Vistra Corp.,VST,NYSE,Utilities,Utility - Electric Power,8675.69,12,,,6.74,2.37,-0.36,2.67,
