Ticker,Name,average_vol,average_open_vol,average_close_vol
SIVB,SVB FINANCIAL GROUP,434700,6100,49300
SNAP,SNAP INC - A,31789900,217000,956900
SNOW,SNOWFLAKE INC-CLASS A,3908900,36300,208100
SOXL,DIREXION DAILY SEMI BULL 3X,23689700,136900,68600
SPG,SIMON PROPERTY GROUP INC,2213900,31700,292200
SPLK,SPLUNK INC,2704700,30600,219200
SPOT,SPOTIFY TECHNOLOGY SA,2065700,22700,124800
SPXL,DIREXION DLY S&P 500 BULL 3X,9285300,47200,38300
SPXS,DIREXION DLY S&P 500 BEAR 3X,14982100,89700,20000
SPY,SPDR S&P 500 ETF TRUST,99939000,215500,1577200
SQ,BLOCK INC,13128700,134100,607600
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,77079000,222700,28500
SRPT,SAREPTA THERAPEUTICS INC,1037800,6600,136500
SSNC,SS&C TECHNOLOGIES HOLDINGS,1185500,7900,146500
STOR,STORE CAPITAL CORP,1937500,20100,226600
STZ,CONSTELLATION BRANDS INC-A,1078300,13000,138400
SWKS,SKYWORKS SOLUTIONS INC,2012100,24300,268500
TEX,TEREX CORP,515200,6100,71900
TFI,SPDR NUVEEN BLOOMBERG MUNICI,1078700,4400,3900
TGH,TEXTAINER GROUP HOLDINGS LTD,387100,6400,35500
TGT,TARGET CORP,4293400,54700,493100
TJX,TJX COMPANIES INC,6576000,90400,802300
TLT,ISHARES 20+ YEAR TREASURY BO,18800200,36300,1185600
TQQQ,PROSHARES ULTRAPRO QQQ,77475200,162300,109900
TREE,LENDINGTREE INC,243200,1800,20200
TRIP,TRIPADVISOR INC,2651900,23100,209000
TSCO,TRACTOR SUPPLY COMPANY,785400,9600,93400
TSLA,TESLA INC,26378800,149600,603400
TSM,TAIWAN SEMICONDUCTOR-SP ADR,11122500,198100,564700
TTD,TRADE DESK INC/THE -CLASS A,5491200,65800,264000
TTWO,TAKE-TWO INTERACTIVE SOFTWRE,2053700,17500,161900
TWLO,TWILIO INC - A,3161900,33000,164000
TWST,TWIST BIOSCIENCE CORP,834500,7500,59900
TWTR,TWITTER INC,19550700,164900,1428600
TZA,DIREXION DLY SM CAP BEAR 3X,20123700,46600,7600
UBER,UBER TECHNOLOGIES INC,31415700,246800,1544100
ULTA,ULTA BEAUTY INC,739600,6100,54000
UNP,UNION PACIFIC CORP,2846200,40400,412600
UTHR,UNITED THERAPEUTICS CORP,403100,2800,79600
VCIT,VANGUARD INT-TERM CORPORATE,4382400,29000,27500
VGLT,VANGUARD LONG-TERM TREASURY,2981500,5400,16100
VGSH,VANGUARD SHORT-TERM TREASURY,2378700,19100,20000
VMW,VMWARE INC-CLASS A,2371300,26500,284600
VRTX,VERTEX PHARMACEUTICALS INC,2001500,25200,242000
VTI,VANGUARD TOTAL STOCK MKT ETF,4632700,119100,49900
W,WAYFAIR INC- CLASS A,1641100,10800,106500
WDAY,WORKDAY INC-CLASS A,2050100,17000,161600
WFC,WELLS FARGO & CO,29590200,356800,3171600
WING,WINGSTOP INC,341400,2600,25700
WIX,WIX.COM LTD,877900,7800,70400
WMT,WALMART INC,9662900,138800,1049200
WSM,WILLIAMS-SONOMA INC,1179500,9500,69600
WSO,WATSCO INC,136400,1200,18400
WST,WEST PHARMACEUTICAL SERVICES,416200,5900,73900
WYNN,WYNN RESORTS LTD.,3450600,35800,180600
XBI,BLOCK INC,12436900,39700,194500
XLE,ENERGY SELECT SECTOR SPDR,34512700,151300,705800
XLF,FINANCIAL SELECT SECTOR SPDR,67674900,275100,2134300
XLI,INDUSTRIAL SELECT SECT SPDR,13968900,28100,169400
XLK,TECHNOLOGY SELECT SECT SPDR,13467300,37800,265300
XLNX,XILINX INC,3742500,28500,534300
XLP,CONSUMER STAPLES SPDR,16248600,37100,538200
XLRE,REAL ESTATE SELECT SECT SPDR,7448100,30600,47100
XLU,UTILITIES SELECT SECTOR SPDR,16182600,29000,551300
XLV,HEALTH CARE SELECT SECTOR,13931200,33100,552500
XLY,CONSUMER DISCRETIONARY SELT,9613600,17600,84500
XOM,EXXON MOBIL CORP,25722900,434500,2396400
XPEL,XPEL INC,171600,1700,12200
XPO,XPO LOGISTICS INC,1424000,11600,109500
XRT,SPDR S&P RETAIL ETF,4691800,11500,115400
YELP,YELP INC,669500,9200,74300
YUMC,YUM CHINA HOLDINGS INC,2361200,25800,257900
YY,JOYY INC-ADR,821100,5000,75000
Z,ZILLOW GROUP INC - C,5193400,38300,382100
ZBRA,ZEBRA TECHNOLOGIES CORP-CL A,351700,4300,37500
ZEN,ZENDESK INC,2105600,14000,164100
ZG,ZILLOW GROUP INC - A,1003500,10900,72600
ZM,ZOOM VIDEO COMMUNICATIONS-A,4762800,56200,259400
